"sample_id","Quartz","Kaolinite","Goethite","K-feldspar","Plagioclase","Smectite (ML)","Organic matter","Halloysite","Mica (Tri)","Gibbsite","Ferrihydrite","Illite","Opal","Glass","Pyroxene","Ilmenite","Amphibole","Hematite","Maghemite","Vermiculite","Dickite","Muscovite","Mica (Di)","Magnetite","Calcite","Magnesite","Rutile","Smectite (Di)","Anatase","Olivine","Anhydrite","Apatite","Ankerite","Glauconite","Corundum","Palygorskite","Humic","Bassanite","Dolomite","Gypsum","Cristobalite","Siderite","Background"
"icr072365",66.4402,12.9442,2.9082,NA,NA,NA,0.2092,NA,NA,6.402,2.03,4.7853,2.2959,NA,NA,NA,NA,1.6842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001
"icr072366",61.0229,12.165,3.6752,NA,NA,NA,NA,2.245,2.9988,7.0887,NA,6.4337,2.037,NA,NA,NA,NA,1.9668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012
"icr072425",83.6336,7.3599,2.3396,NA,NA,NA,NA,NA,2.5507,0.7692,3.2062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-04
"icr072426",81.2289,6.7604,3.5016,NA,NA,0.9108,NA,NA,5.137,0.767,1.5335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"icr072596",89.576,NA,NA,1.736,NA,NA,2.1175,NA,3.525,NA,3.0454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"icr072597",90.5736,2.4091,NA,1.4862,NA,1.9632,0.5723,NA,1.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6216,NA,NA,NA,NA,NA,0
"icr072716",92.9328,4.8175,NA,0.7768,NA,NA,0.8558,NA,0.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr072717",91.7136,5.6769,NA,NA,NA,NA,NA,NA,2.0392,NA,0.5702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-04
"icr072756",93.1534,4.8198,NA,NA,NA,NA,NA,NA,0.8802,NA,1.1465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr072757",88.8591,7.5347,NA,NA,NA,NA,NA,NA,2.8608,NA,0.7453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-04
"icr072816",91.4939,3.1032,NA,1.7538,NA,NA,1.0661,NA,0.5622,NA,2.0206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr072817",92.5741,2.3723,NA,1.5197,NA,1.7328,0.5788,NA,1.2223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"icr072836",95.395,NA,NA,1.6746,NA,2.3536,NA,NA,0.5769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1e-04
"icr072837",93.0823,NA,NA,1.646,NA,3.7876,NA,NA,1.4844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2e-04
"icr072896",94.7484,NA,NA,NA,NA,NA,NA,NA,3.2655,NA,1.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-04
"icr072897",89.9438,5.6061,NA,NA,NA,NA,NA,NA,1.7531,NA,2.2257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-04
"icr072968",75.8462,12.7829,2.3788,NA,NA,NA,1.3939,NA,1.3811,1.1024,2.0051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr072969",59.4376,22.1885,4.9597,NA,NA,NA,NA,NA,NA,3.2097,3.2309,NA,1.9788,NA,NA,NA,NA,NA,NA,NA,NA,3.073,1.9214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-04
"icr073068",70.0687,12.736,5.4428,NA,NA,NA,2.6107,NA,6.9884,0.5404,NA,NA,NA,NA,NA,0.7892,NA,0.6575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-04
"icr073069",75.2173,13.0432,3.441,NA,NA,NA,3.0904,NA,1.1511,0.5133,2.0737,NA,NA,NA,NA,0.7547,NA,0.4781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-04
"icr073148",69.2081,15.0321,4.9445,NA,NA,NA,2.0441,NA,4.4003,3.2993,NA,NA,NA,NA,NA,1.0714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-04
"icr073149",60.9206,14.6764,5.3801,NA,NA,NA,3.7858,NA,4.7585,4.9958,2.6964,NA,0.6016,NA,NA,0.937,NA,NA,NA,NA,1.2478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"icr073168",67.6752,9.1972,8.7953,NA,NA,NA,2.5183,NA,1.5292,1.1613,2.1396,2.6987,1.9126,NA,NA,1.6109,NA,0.6061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-04
"icr073169",57.2696,5.6935,15.4088,NA,NA,NA,NA,5.408,NA,1.8046,5.1807,3.1121,2.0989,NA,NA,1.1281,NA,NA,NA,NA,2.2241,NA,NA,NA,NA,NA,0.3649,NA,0.3058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9e-04
"icr073228",42.4911,16.6059,8.9713,11.8428,0.5238,NA,NA,3.78,8.0585,3.6969,NA,NA,1.6888,NA,NA,NA,NA,1.3812,NA,NA,NA,NA,NA,0.7237,NA,NA,NA,NA,0.2348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012
"icr073229",30.5507,19.621,10.4232,12.8653,0.5817,NA,NA,3.4008,10.5646,5.2777,NA,NA,2.0386,NA,NA,NA,NA,1.4748,NA,NA,1.6284,NA,NA,0.7486,NA,0.5585,NA,NA,0.2648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014
"icr073300",43.8992,23.6287,9.308,NA,NA,NA,NA,NA,3.5257,11.6325,NA,NA,3.975,NA,NA,NA,0.8138,2.3729,NA,NA,NA,NA,NA,NA,NA,NA,0.4939,NA,0.3483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002
"icr073301",46.0524,20.3727,8.79,NA,NA,NA,NA,NA,8.3498,8.6635,NA,NA,3.6046,NA,NA,NA,NA,2.3815,NA,NA,1.465,NA,NA,NA,NA,NA,NA,NA,0.3187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017
"icr073379",55.1941,23.0642,7.7048,NA,NA,NA,NA,NA,NA,8.9977,NA,NA,3.7815,NA,NA,NA,NA,0.9503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001
"icr073380",47.7871,15.3232,2.8522,24.6316,3.4009,NA,NA,NA,NA,0.5837,NA,NA,NA,NA,NA,NA,NA,0.5833,NA,NA,NA,NA,4.572,NA,NA,NA,0.2659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"icr073439",69.7891,17.9545,3.8675,NA,NA,NA,2.174,NA,NA,3.3557,0.6895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0431,NA,NA,NA,NA,NA,0.1266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"icr073440",66.4651,19.6651,4.5579,NA,NA,NA,NA,NA,2.4663,4.925,NA,NA,1.9204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-04
"icr073519",66.856,18.1755,4.0902,1.0299,NA,NA,NA,NA,4.1576,2.3026,1.7479,NA,1.6399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-04
"icr073520",59.0469,23.8462,4.9765,NA,NA,NA,NA,NA,2.2912,3.5616,0.9712,NA,2.1247,NA,NA,NA,NA,NA,NA,NA,NA,2.7984,NA,NA,NA,NA,0.3827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-04
"icr073558",71.4117,15.6303,4.307,NA,NA,NA,NA,NA,2.9004,3.7951,0.9457,NA,NA,NA,NA,NA,NA,0.5132,NA,NA,NA,NA,NA,NA,NA,NA,0.3814,NA,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-04
"icr073559",48.3348,23.6175,7.0732,0.8417,NA,NA,NA,NA,7.4146,7.8762,NA,NA,1.6281,NA,NA,NA,NA,0.826,NA,NA,1.6869,NA,NA,NA,NA,NA,0.4299,NA,0.2707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-04
"icr073578",69.3717,16.7783,6.4816,NA,NA,NA,NA,NA,1.5841,3.1005,NA,NA,NA,NA,NA,NA,NA,0.7517,1.7644,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-04
"icr073579",44.7162,30.7062,6.8147,NA,NA,NA,NA,NA,5.0934,8.0828,0.8923,NA,2.3567,NA,NA,NA,NA,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001
"icr074509",92.5989,NA,NA,4.1369,NA,2.3974,NA,NA,0.8668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"icr074510",91.93,NA,NA,3.8844,NA,3.8218,NA,NA,0.3638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1e-04
"icr074631",96.7132,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2e-04
"icr074632",96.7909,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2e-04
"icr074691",95.6061,NA,NA,NA,NA,3.6036,NA,NA,NA,NA,0.7906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3e-04
"icr074692",96.8094,NA,NA,NA,1.0283,1.6148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2e-04
"icr074731",97.9988,NA,NA,NA,NA,2.0013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1e-04
"icr074732",92.8772,NA,NA,NA,NA,NA,NA,NA,2.3477,NA,4.7752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1e-04
"icr075676",96.6657,2.4822,NA,NA,NA,NA,NA,NA,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr075677",91.8672,3.763,NA,1.7648,NA,NA,NA,NA,1.8419,NA,0.7629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr075696",88.9762,NA,NA,2.4285,NA,NA,0.109,NA,2.7568,NA,NA,NA,NA,5.7293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr075697",91.5266,NA,NA,2.95,NA,2.1646,NA,NA,3.3587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr075756",94.0406,NA,NA,3.1054,NA,NA,NA,NA,1.3153,NA,1.5386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04
"icr075757",81.7349,3.7416,1.9832,1.5758,NA,3.743,0.7154,3.5478,NA,NA,NA,2.8132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1e-04
"icr075916",71.7395,5.0839,2.647,3.8373,NA,2.3501,7.3117,NA,NA,NA,1.1149,3.5428,2.1575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1e-04
"icr075917",62.2181,5.6293,5.4693,4.0232,NA,2.0696,2.096,4.3214,3.508,NA,1.9878,4.9624,2.9464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3989,NA,0.3695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-04
"icr076347",10.1126,11.6319,2.024,20.2131,18.6533,4.8125,NA,11.931,2.0698,NA,1.4779,NA,3.3471,4.3014,0.9124,1.6079,4.401,0.4471,NA,NA,NA,NA,NA,0.7052,NA,NA,1.0512,NA,0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0026
"icr076348",9.7724,11.2547,NA,18.9997,15.9156,5.6733,NA,12.7848,2.2442,NA,1.5619,NA,3.0841,2.9293,0.9284,1.926,3.6729,0.647,NA,NA,NA,NA,NA,0.6223,NA,NA,1.2203,5.3437,0.2279,NA,0.6106,0.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0029
"icr076364",15.8017,5.8009,9.9647,8.5511,8.7138,7.3624,NA,18.1032,2.8157,0.6998,7.0867,3.757,2.245,NA,2.6642,2.0427,1.6635,NA,NA,NA,NA,NA,NA,2.079,NA,NA,0.236,NA,0.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0046
"icr076365",17.8198,10.0208,9.7557,11.1035,7.4775,5.7884,NA,14.6355,3.4917,1.8897,4.6185,2.5782,2.1449,NA,2.3018,1.6402,1.8919,0.7384,NA,NA,NA,NA,NA,1.7803,NA,NA,NA,NA,0.3188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0041
"icr076384",8.5648,11.8385,12.4325,5.065,5.0698,4.1507,NA,23.3752,3.3293,0.6542,4.4101,5.095,NA,NA,4.6449,2.7807,2.0414,NA,NA,NA,NA,NA,NA,3.6227,0.9374,NA,NA,NA,0.3648,NA,NA,NA,NA,NA,1.6164,NA,NA,NA,NA,NA,NA,NA,0.0066
"icr076385",7.8091,9.2053,11.3953,3.756,3.7974,7.5733,NA,27.1353,NA,0.7017,2.3197,8.6496,NA,NA,5.4662,3.1113,2.0461,NA,NA,NA,NA,NA,NA,2.84,1.4789,NA,NA,NA,0.3024,NA,NA,NA,NA,NA,2.4046,NA,NA,NA,NA,NA,NA,NA,0.0076
"icr076404",14.6686,19.6324,10.5623,7.7384,4.8418,1.3394,NA,13.4113,4.395,0.7983,4.1483,3.5171,3.5083,NA,2.706,1.8818,0.7245,0.4391,NA,NA,2.0236,NA,NA,2.1182,0.5834,NA,NA,NA,0.3162,NA,NA,NA,NA,NA,0.6417,NA,NA,NA,NA,NA,NA,NA,0.0044
"icr076405",18.3763,23.4305,10.6652,5.7004,3.8096,NA,2.2495,10.5967,2.8917,0.7768,5.6139,2.3969,3.4765,NA,2.9709,1.8328,1.0384,0.3913,NA,NA,1.2228,NA,NA,1.5311,NA,NA,NA,NA,0.3233,NA,NA,NA,NA,NA,0.7023,NA,NA,NA,NA,NA,NA,NA,0.0033
"icr076444",11.3901,6.3685,11.0956,5.9519,6.8973,4.2483,NA,13.4447,NA,3.3687,NA,9.2162,1.7398,NA,7.7437,3.1826,5.6781,NA,NA,NA,NA,NA,NA,4.894,1.6573,NA,NA,NA,0.2401,NA,NA,0.6584,NA,NA,1.888,NA,NA,NA,NA,NA,NA,0.3298,0.0069
"icr076445",14.1147,3.7275,11.7249,6.9311,4.2205,3.1213,11.0697,8.9509,2.2556,5.7856,1.621,6.5897,NA,NA,6.049,2.9376,2.8836,NA,NA,NA,NA,NA,NA,3.6683,1.844,NA,NA,NA,0.2331,NA,NA,0.6584,NA,NA,1.6087,NA,NA,NA,NA,NA,NA,NA,0.0051
"icr076464",15.1719,2.9581,12.2536,6.7728,3.8306,3.3906,11.4106,9.9532,NA,5.5628,2.3737,6.8049,NA,NA,5.6801,2.6868,3.436,NA,NA,NA,NA,NA,NA,3.8257,1.3828,NA,NA,NA,0.2162,NA,NA,0.5162,NA,NA,1.4854,NA,NA,NA,NA,NA,NA,0.2833,0.0049
"icr076465",10.4946,4.8717,11.6118,5.4293,4.2736,5.0697,14.4475,10.4883,NA,5.9041,3.5471,4.8339,NA,NA,5.3941,2.6334,3.6531,NA,NA,NA,NA,NA,NA,3.5047,1.5011,NA,NA,NA,0.2599,NA,NA,NA,NA,NA,1.6223,NA,NA,NA,NA,NA,NA,0.4546,0.0053
"icr076484",4.7371,12.4044,11.2456,6.7476,3.5245,4.6006,7.4253,16.8267,4.9509,0.5785,3.6984,4.7718,NA,NA,5.048,2.8431,2.2583,NA,NA,NA,NA,NA,NA,3.77,1.6112,NA,NA,NA,0.3352,NA,NA,0.653,NA,NA,1.7262,NA,NA,NA,NA,NA,NA,0.2379,0.0058
"icr076485",2.8642,12.3689,10.1516,5.0038,3.0167,3.8326,8.2946,18.9082,6.3508,0.6241,6.6306,4.9098,NA,NA,5.0514,1.9747,2.34,NA,NA,NA,NA,NA,NA,2.6749,1.9363,0.5134,NA,NA,0.232,NA,0.5856,NA,NA,NA,1.3198,NA,NA,NA,NA,NA,NA,0.4113,0.0049
"icr076502",6.5979,8.0955,8.3214,7.779,8.6252,9.1949,NA,15.384,0.1222,1.13,6.2415,6.6022,2.3667,NA,6.1854,3.1525,3.24,NA,NA,NA,NA,NA,NA,3.4929,1.1034,NA,0.3127,NA,0.3966,NA,NA,NA,NA,NA,1.6489,NA,NA,NA,NA,NA,NA,NA,0.0071
"icr076503",6.2626,4.0639,7.6467,5.8329,10.7596,10.675,NA,17.2667,NA,0.9165,5.8455,7.6079,2.3878,NA,6.2561,3.1619,3.3223,NA,NA,NA,NA,NA,NA,3.3463,1.3789,NA,NA,NA,0.2969,1.3051,NA,NA,NA,NA,1.66,NA,NA,NA,NA,NA,NA,NA,0.0073
"icr076522",8.8077,NA,NA,25.6368,10.5783,5.4756,9.7607,4.1713,NA,12.7023,2.3366,NA,3.092,NA,1.5741,2.174,2.9869,NA,NA,NA,2.4008,NA,NA,1.3261,NA,NA,3.0122,NA,NA,1.9871,NA,NA,0.8599,NA,1.114,NA,NA,NA,NA,NA,NA,NA,0.0034
"icr076523",7.8535,NA,2.2876,25.7653,5.5696,4.5243,0.9155,NA,NA,22.9994,NA,4.0059,4.3269,NA,2.1874,1.6876,2.5831,NA,NA,2.0479,3.1269,NA,NA,2.2962,NA,NA,3.4618,NA,NA,2.207,NA,0.639,0.5274,NA,0.9835,NA,NA,NA,NA,NA,NA,NA,0.0042
"icr076561",4.1268,NA,5.0918,4.4171,7.5983,11.2822,NA,17.1385,NA,0.9254,8.7053,7.3234,3.5264,NA,10.0454,3.17,4.1308,1.2418,NA,NA,NA,NA,NA,3.7564,1.2411,NA,NA,NA,0.1863,3.0203,0.4889,NA,NA,NA,1.1332,NA,NA,1.4423,NA,NA,NA,NA,0.0084
"icr076562",3.6096,NA,11.6075,4.577,7.3349,11.095,NA,16.7771,NA,0.7604,6.7433,5.3461,NA,NA,10.6357,3.3839,4.6412,NA,NA,NA,2.0261,NA,NA,4.4201,1.5019,NA,NA,NA,0.2828,1.7138,NA,1.2338,NA,NA,2.0478,NA,NA,NA,NA,NA,0.2547,NA,0.0071
"icr076581",2.5069,4.3347,NA,14.4923,7.7063,8.23,9.8815,8.053,NA,9.7768,7.9467,NA,4.0732,10.7506,2.1748,1.7022,2.0069,NA,NA,NA,1.4677,NA,NA,1.6609,NA,NA,2.3793,NA,NA,NA,NA,NA,NA,NA,0.8516,NA,NA,NA,NA,NA,NA,NA,0.0047
"icr076582",2.3748,NA,NA,15.5089,7.9999,8.2596,11.2846,11.9396,NA,8.5887,4.7873,NA,3.8732,13.2327,1.6184,1.64,2.5271,NA,NA,NA,2.2283,NA,NA,1.2516,0.7356,NA,2.0037,NA,0.1413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0044
"icr076601",2.9019,NA,NA,22.9137,7.8486,7.9186,10.3418,5.5475,NA,7.1999,4.2779,NA,3.9605,7.2005,2.594,2.3373,2.9648,NA,NA,NA,3.2195,NA,NA,1.8989,NA,NA,3.31,NA,NA,2.0859,NA,NA,0.3351,NA,1.1382,NA,NA,NA,NA,NA,NA,NA,0.0053
"icr076602",2.5903,NA,NA,23.2606,10.8252,8.1182,7.3223,6.1839,NA,5.3069,5.7087,NA,3.7033,7.1187,2.2082,2.2267,2.586,NA,NA,NA,2.9497,NA,NA,1.8879,NA,NA,3.42,NA,0.2215,1.8709,NA,0.6708,0.4629,NA,1.3523,NA,NA,NA,NA,NA,NA,NA,0.005
"icr076621",1.1596,NA,NA,28.4171,6.6184,6.5782,12.541,NA,NA,17.0664,7.685,NA,2.0468,3.6668,1.166,1.3399,1.9044,0.7049,NA,NA,1.9062,NA,NA,0.788,NA,NA,2.9479,NA,NA,1.1796,NA,0.9055,0.5607,NA,0.8153,NA,NA,NA,NA,NA,NA,NA,0.0024
"icr076622",3.5443,NA,NA,22.3548,6.7707,7.9028,8.4166,NA,NA,29.7573,6.2045,NA,2.2292,NA,0.6563,1.311,1.6596,0.7515,NA,NA,1.5346,NA,NA,1.1369,NA,NA,2.6854,NA,NA,1.1649,NA,0.7466,0.5156,NA,0.6543,NA,NA,NA,NA,NA,NA,NA,0.0029
"icr076640",3.2845,NA,7.9003,8.0541,11.8611,7.358,NA,NA,NA,4.1372,1.1195,3.4128,2.7503,NA,16.9698,3.2863,5.4443,1.9097,1.8859,NA,1.7954,NA,NA,5.0028,1.5327,0.4929,1.3329,NA,0.2871,6.0316,NA,NA,0.7436,NA,1.3816,NA,NA,2.0172,NA,NA,NA,NA,0.0082
"icr076641",3.0037,NA,8.5375,6.3433,11.0961,7.2207,8.7918,NA,NA,2.8293,0.9691,2.8792,NA,NA,18.7303,2.6988,4.7324,1.4756,3.4497,NA,2.0115,NA,NA,3.6902,0.6264,0.8169,1.0478,NA,0.2283,5.16,NA,NA,0.609,NA,1.0773,NA,NA,1.9683,NA,NA,NA,NA,0.0068
